resource,field,filterable,sortable
bill,q,TRUE,
bill,bill_resolution_type,,
bill,bill_type,TRUE,TRUE
bill,bill_type_label,,
bill,committees,TRUE,TRUE
bill,congress,TRUE,TRUE
bill,cosponsors,TRUE,TRUE
bill,current_status,TRUE,TRUE
bill,current_status_date,TRUE,TRUE
bill,current_status_description,,
bill,current_status_label,,
bill,display_number,,
bill,docs_house_gov_postdate,,
bill,id,,
bill,introduced_date,TRUE,TRUE
bill,is_alive,,
bill,is_current,,
bill,link,,
bill,lock_title,,
bill,major_actions,,
bill,noun,,
bill,number,TRUE,TRUE
bill,senate_floor_schedule_postdate,,
bill,sliplawnum,,
bill,sliplawpubpriv,,
bill,source,,
bill,source_link,,
bill,sponsor,TRUE,TRUE
bill,sponsor_role,,
bill,terms,TRUE,TRUE
bill,thomas_link,,
bill,title,,
bill,title_without_number,,
bill,titles,,
cosponsorship,bill,TRUE,
cosponsorship,id,TRUE,TRUE
cosponsorship,joined,TRUE,TRUE
cosponsorship,person,TRUE,
cosponsorship,role,TRUE,TRUE
cosponsorship,withdrawn,,
person,q,TRUE,
person,bioguideid,,
person,birthday,,
person,committeeassignments,,
person,cspanid,,
person,firstname,,
person,gender,TRUE,TRUE
person,gender_label,,
person,id,,
person,lastname,TRUE,TRUE
person,link,,
person,middlename,,
person,name,,
person,namemod,,
person,nickname,,
person,osid,,
person,pvsid,,
person,roles,,
person,sortname,,
person,twitterid,,
person,youtubeid,,
role,caucus,,
role,congress_numbers,,
role,current,TRUE,TRUE
role,description,,
role,district,TRUE,TRUE
role,enddate,TRUE,TRUE
role,extra,,
role,id,TRUE,TRUE
role,leadership_title,,
role,party,TRUE,TRUE
role,person,TRUE,TRUE
role,phone,,
role,role_type,TRUE,TRUE
role,role_type_label,,
role,senator_class,TRUE,TRUE
role,senator_rank,,
role,startdate,TRUE,TRUE
role,state,TRUE,TRUE
role,title,,
role,title_long,,
role,website,,
vote,category,,
vote,category_label,,
vote,chamber,TRUE,
vote,chamber_label,,
vote,congress,TRUE,
vote,created,TRUE,TRUE
vote,id,TRUE,TRUE
vote,link,,
vote,margin,,
vote,missing_data,,
vote,number,TRUE,
vote,options,,
vote,percent_plus,,
vote,question,,
vote,question_details,,
vote,related_amendment,TRUE,TRUE
vote,related_bill,TRUE,TRUE
vote,required,,
vote,result,,
vote,session,TRUE,
vote,source,,
vote,source_label,,
vote,total_minus,,
vote,total_other,,
vote,total_plus,,
vote,vote_type,,
vote_voter,created,TRUE,TRUE
vote_voter,id,TRUE,TRUE
vote_voter,option,TRUE,TRUE
vote_voter,person,TRUE,TRUE
vote_voter,person_role,TRUE,TRUE
vote_voter,vote,TRUE,TRUE
vote_voter,voter_type,,
vote_voter,voter_type_label,,
vote_voter,voteview_extra_code,,
committee,abbrev,,
committee,code,TRUE,TRUE
committee,committee,TRUE,TRUE
committee,committee_type,,
committee,id,TRUE,TRUE
committee,jurisdiction,,
committee,jurisdiction_link,,
committee,name,,
committee,obsolete,TRUE,TRUE
committee,url,,
committee_member,committee,TRUE,TRUE
committee_member,id,TRUE,TRUE
committee_member,person,TRUE,TRUE
committee_member,role,,
committee_member,role_label,,
